Model,Version,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,Baseline,0.9583,0.5456545654565457,0.992,0.7040454222853088,0.9936743157894736,0.934934758955168
Logistic Regression,Tuned,0.9871,0.8972162740899358,0.838,0.8665977249224406,0.9937861052631578,0.9422261842578207
Random Forest,Baseline,0.99565,0.9246511627906976,0.994,0.9580722891566265,0.9976212631578948,0.9935398790749416
Random Forest,Tuned,0.9967,0.9430740037950665,0.994,0.9678675754625121,0.9974739736842103,0.99346033382841
XGBoost,Baseline,0.9996,0.997991967871486,0.994,0.995991983967936,0.9988484736842104,0.9959304148537936
XGBoost,Tuned,0.99945,0.994994994994995,0.994,0.9944972486243121,0.9990381842105264,0.9962994092611824
