feature,threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
amount,714218.48,0.42072538860103625,0.406,0.41323155216284985,559,594,406,18441
log_amount,13.478945589043555,0.42072538860103625,0.406,0.41323155216284985,559,594,406,18441
amount_to_origin_balance_ratio,0.5788421960517579,0.07074898061377781,0.989,0.13205153882101608,12990,11,989,6010
amount_to_destination_balance_ratio,223732.70399999944,0.4338461538461538,0.423,0.42835443037974685,552,577,423,18448
